x,y
2,8
3,23
4,42
5,65
6,92
7,123
8,158
9,197
10,240
11,287
12,338
13,393
14,452
15,515
16,582
17,653
18,728
19,807
20,890
21,977
22,1068
23,1163
24,1262
25,1365
26,1472
27,1583
28,1698
29,1817
30,1940
31,2067
32,2198
33,2333
34,2472
35,2615
36,2762
37,2913
38,3068
39,3227
40,3390
41,3557
42,3728
43,3903
44,4082
45,4265
46,4452
47,4643
48,4838
49,5037
50,5240
51,5447
52,5658
53,5873
54,6092
55,6315
56,6542
57,6773
58,7008
59,7247
60,7490
61,7737
62,7988
63,8243
64,8502
65,8765
66,9032
67,9303
68,9578
69,9857
70,10140
71,10427
72,10718
73,11013
74,11312
75,11615
76,11922
77,12233
78,12548
79,12867
80,13190
81,13517
82,13848
83,14183
84,14522
85,14865
86,15212
87,15563
88,15918
89,16277
90,16640
91,17007
92,17378
93,17753
94,18132
95,18515
96,18902
97,19293
98,19688
99,20087
100,20490
