x,y
2,6019
3,4149
4,3636
5,6314
6,4752
7,2704
8,1669
9,230
10,2881
11,4092
12,6428
13,3249
14,2497
15,775
16,5323
17,2815
18,4562
19,1202
20,3656
21,2467
22,2881
23,6686
24,4834
25,4870
26,5297
27,7758
28,3689
29,4016
30,3024
31,5209
32,5245
33,5552
34,7888
35,3958
36,6145
37,6521
38,9037
39,5629
40,6305
41,8335
42,7764
43,7288
44,8700
45,6693
46,4551
47,8463
48,6947
49,7431
50,8503
51,7849
52,8400
53,9074
54,8297
55,12537
56,9474
57,9731
58,9074
59,13178
60,13308
61,13841
62,9888
63,10349
64,13199
65,14221
66,14129
67,12203
68,9802
69,12886
70,16301
71,11133
72,13771
73,13949
74,16686
75,15735
76,17520
77,15753
78,14135
79,17751
80,13244
81,18032
82,14438
83,17278
84,15565
85,20611
86,18245
87,21072
88,18854
89,20782
90,17965
91,19808
92,20522
93,18130
94,19881
95,19410
96,19282
97,24930
98,23792
99,22671
100,26150
