x,y
2,6019
3,5084
4,4601
5,5029
6,4974
7,4595
8,4177
9,3684
10,3594
11,3644
12,3897
13,3843
14,3740
15,3528
16,3647
17,3595
18,3652
19,3516
20,3523
21,3471
22,3442
23,3590
24,3644
25,3695
26,3759
27,3913
28,3905
29,3908
30,3878
31,3922
32,3965
33,4015
34,4132
35,4127
36,4184
37,4249
38,4379
39,4412
40,4460
41,4557
42,4635
43,4698
44,4791
45,4835
46,4828
47,4907
48,4951
49,5002
50,5074
51,5129
52,5193
53,5268
54,5325
55,5459
56,5532
57,5607
58,5667
59,5797
60,5924
61,6056
62,6119
63,6187
64,6299
65,6422
66,6541
67,6627
68,6674
69,6765
70,6904
71,6964
72,7060
73,7156
74,7286
75,7400
76,7535
77,7643
78,7728
79,7856
80,7924
81,8051
82,8129
83,8241
84,8329
85,8475
86,8590
87,8736
88,8852
89,8987
90,9088
91,9207
92,9332
93,9427
94,9540
95,9645
96,9746
97,9904
98,10047
99,10176
100,10338
