X,Y
2.000000,3.000000
4.000000,5.000000
6.000000,7.000000
8.000000,9.000000
10.000000,11.000000
12.000000,13.000000
14.000000,15.000000
16.000000,17.000000
18.000000,19.000000
20.000000,21.000000
22.000000,23.000000
24.000000,25.000000
26.000000,27.000000
28.000000,29.000000
30.000000,31.000000
32.000000,33.000000
34.000000,35.000000
36.000000,37.000000
38.000000,39.000000
40.000000,41.000000
42.000000,43.000000
44.000000,45.000000
46.000000,47.000000
48.000000,49.000000
50.000000,51.000000
52.000000,53.000000
54.000000,55.000000
56.000000,57.000000
58.000000,59.000000
60.000000,61.000000
62.000000,63.000000
64.000000,65.000000
66.000000,67.000000
68.000000,69.000000
70.000000,71.000000
72.000000,73.000000
74.000000,75.000000
76.000000,77.000000
78.000000,79.000000
80.000000,81.000000
82.000000,83.000000
84.000000,85.000000
86.000000,87.000000
88.000000,89.000000
90.000000,91.000000
92.000000,93.000000
94.000000,95.000000
96.000000,97.000000
98.000000,99.000000
100.000000,101.000000
8.000000,23.000000
42.000000,65.000000
92.000000,123.000000
158.000000,197.000000
240.000000,287.000000
338.000000,393.000000
452.000000,515.000000
582.000000,653.000000
728.000000,807.000000
890.000000,977.000000
1068.000000,1163.000000
1262.000000,1365.000000
1472.000000,1583.000000
1698.000000,1817.000000
1940.000000,2067.000000
2198.000000,2333.000000
2472.000000,2615.000000
2762.000000,2913.000000
3068.000000,3227.000000
3390.000000,3557.000000
3728.000000,3903.000000
4082.000000,4265.000000
4452.000000,4643.000000
4838.000000,5037.000000
5240.000000,5447.000000
5658.000000,5873.000000
6092.000000,6315.000000
6542.000000,6773.000000
7008.000000,7247.000000
7490.000000,7737.000000
7988.000000,8243.000000
8502.000000,8765.000000
9032.000000,9303.000000
9578.000000,9857.000000
10140.000000,10427.000000
10718.000000,11013.000000
11312.000000,11615.000000
11922.000000,12233.000000
12548.000000,12867.000000
13190.000000,13517.000000
13848.000000,14183.000000
14522.000000,14865.000000
15212.000000,15563.000000
15918.000000,16277.000000
16640.000000,17007.000000
17378.000000,17753.000000
18132.000000,18515.000000
18902.000000,19293.000000
19688.000000,20087.000000
20490.000000,20897.000000
