X,Y
0.000000,6.000000
2.000000,12.000000
4.000000,11.000000
6.000000,13.000000
8.000000,16.000000
10.000000,18.000000
12.000000,21.000000
14.000000,23.000000
16.000000,24.000000
18.000000,26.000000
20.000000,29.000000
22.000000,31.000000
24.000000,35.000000
26.000000,36.000000
28.000000,36.000000
30.000000,40.000000
32.000000,38.000000
34.000000,40.000000
36.000000,42.000000
38.000000,44.000000
40.000000,47.000000
42.000000,49.000000
44.000000,50.000000
46.000000,55.000000
48.000000,54.000000
50.000000,-5.000000
-3.000000,16.000000
23.000000,52.000000
65.000000,102.000000
123.000000,166.000000
197.000000,250.000000
287.000000,346.000000
393.000000,460.000000
515.000000,588.000000
653.000000,735.000000
807.000000,897.000000
977.000000,1073.000000
1163.000000,1272.000000
1365.000000,1477.000000
1583.000000,1705.000000
1817.000000,1949.000000
2067.000000,2205.000000
2333.000000,2480.000000
2615.000000,2771.000000
2913.000000,3078.000000
3227.000000,3400.000000
3557.000000,3734.000000
3903.000000,4088.000000
4265.000000,4462.000000
4643.000000,4846.000000
